Textkey,-,string,string,string,string,string,string,string,string,string,string,string,string,_
textkey,context,english,spanish,latin,russian,german,french,chineseSimplified,japanese,portuguesebrazil,korean,thai,catalan,to translate
LANGUAGE_NAME,,English,Español,Latinum,Русский,Deutsch,Français,简体中文,日本語,Português do Brasil (Community),Korean,Thai,Catalán,
None,,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",
NONE,,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",
EMPTY,,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",
ADITTIONAL_CHARSET,,ñ?¿-,ñ?¿-,ñ?¿-,ñ?¿-,ñ?¿-,ñ?¿-,ñ?¿-,ñ?¿-,ñ?¿-,ñ?¿-,ñ?¿-,ñ?¿-,
BUILDABLE_NAME_0,"Building name - Keep this name as long as it appears, do not modify",Well,Pozo,PUTEVM,Колодец,Brunnen,Puits,水井,井戸,Poço,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_1,"Building name - Keep this name as long as it appears, do not modify",Watermill,Molino de agua,NORIA,Водяное колесо,Wassermühle,Moulin à eau,水车,水車小屋,Moinho de água,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_2,"Building name - Keep this name as long as it appears, do not modify",Aqueduct,Acueducto,AQVAEDVCTVS,Акведук,Aquädukt,Aqueduc,高架水渠,水道橋,Aqueduto,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_3,"Building name - Keep this name as long as it appears, do not modify",Reservoir,Depósito,CISTERNA,Резервуар,Reservoir,Réservoir,蓄水池,ため池,Reservatório,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_4,"Building name - Keep this name as long as it appears, do not modify",Plebeian housing,Viviendas de plebeyos,INSVLAE,Жилище плебеев,Unterkunft für Plebejer,Logement plébéien,平民住宅,平民住宅,Moradias de plebeus,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_5,"Building name - Keep this name as long as it appears, do not modify",Engineers' post,Puesto de ingenieros,FABRVM POSITIO,Пост инженеров,Ingenieursposten,Bâtiment de techniciens,工程师驻地,エンジニア配置所,Posto dos engenheiros,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_6,"Building name - Keep this name as long as it appears, do not modify",Tax office,Oficina de impuestos,TRIBVTVM OFFICVM,Казначейство,Steueramt,Bureau des impôts,税务办公室,税務署,Escritório de tributos,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_7,"Building name - Keep this name as long as it appears, do not modify",Market,Mercado,MACELLVM,Рынок,Markt,Marché,市场,市場,Mercado,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_8,"Building name - Keep this name as long as it appears, do not modify",Baths,Termas,THERMAE,Термы,Thermen,Thermes,浴场,温泉,Banhos,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_9,"Building name - Keep this name as long as it appears, do not modify",Doctor's office,Consulta médica,TABERNA MEDICA,Кабинет врача,Arztpraxis,Cabinet médical,诊所,医院,Consultório médico,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_11,"Building name - Keep this name as long as it appears, do not modify",Acting school,Escuela de actores,GREGES,Школа актёров,Schauspielschule,École de théâtre,演艺学校,俳優学校,Escola de interpretação,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_12,"Building name - Keep this name as long as it appears, do not modify",Theater,Teatro,THEATRVM,Театр,Theater,Théâtre,剧场,劇場,Teatro,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_13,"Building name - Keep this name as long as it appears, do not modify",Gladiatorial school,Escuela de gladiadores,LVDVS,Школа гладиаторов,Gladiatorenschule,École de gladiateurs,角斗士学校,剣闘士学校,Escola de gladiadores,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_14,,Arena,Arena,AMPHITEATRVM,Арена,Arena,Arène,竞技场,アリーナ,Arena,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_15,"Building name - Keep this name as long as it appears, do not modify",Tavern,Taberna,CAVPONA,Таберна,Taverne,Taverne,酒馆,居酒屋,Taberna,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_16,"Building name - Keep this name as long as it appears, do not modify",Tribune,Tribuna,TRIBVNA,Трибуна,Tribüne,Tribune,讲坛,新聞社,Tribuna,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
